##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;? = 0,64,0;;;;;;;;;;X
##;? = 0,0,192;;;;;;;;;;X
##;? = 128,0,0;;;;;;;;;;X
##;? = 255,255,0;;;;;;;;;;X
##;? = 255,0,255;;;;;;;;;;X
##;? = 255,128,0;;;;;;;;;;X
##;? = 0,100,0;;;;;;;;;;X
##;? = 128,128, 128;;;;;;;;;;X
##;? = 0,0,255;;;;;;;;;;X
##;? = 0,192,0;;;;;;;;;;X
##;? = 100,255,100;;;;;;;;;;X
##;? = 255,100,100;;;;;;;;;;X
##;? = 240,0,0;;;;;;;;;;X
##;? = 255,255,255;;;;;;;;;;X
##;? = 208,232,248;;;;;;;;;;X
##;? = 0,0,0;;;;;;;;;;X
##;Ё - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
DPERSONALITY_BASE_CONTROL_DOCTRINE;他指挥海军的立足点就是基地控制理论。这意味着直接对敌方基地(港口和岛屿)发起进攻，并通过空军和地面部队控制对方对于赢得战争至关重要。 ;;;;;;;;;;X
DPERSONALITY_AIR_SUPERIORITY_DOCTRINE;他指挥空军的立足点就是空中优势理论。这意味这控制战场上的空中优势对于战争的胜利至关重要。 ;;;;;;;;;;X
DPERSONALITY_NAVAL_AVIATION_DOCTRINE;他指挥空军的立足点就是海军航空理论。这意味这战争必须与海军紧密配合，从而摧毁敌方海军，把敌方舰船炸成碎片。 ;;;;;;;;;;X
DPERSONALITY_ARMY_AVIATION_DOCTRINE;他指挥空军的立足点就是陆军航空理论。这意味着空军与陆军紧密协作，摧毁敌方陆地力量对于战争的胜利至关重要。 ;;;;;;;;;;X
DPERSONALITY_CARPET_BOMBING_DOCTRINE;他指挥空军的立足点是地毯轰炸理论。这意味着全面摧毁敌方的运输网和工业基地，以及通过威胁轰炸来消磨对方人民的意志是赢得战争的重要手段。 ;;;;;;;;;;X
DPERSONALITY_VERTICAL_ENVELOPMENT_DOCTRINE;这一理论是大规模利用空军的垂直包围理论。这意味着为了赢得战争最关键的就是首先靠空军来控制战略要地或立足点，随后靠陆军进行突破。 ;;;;;;;;;;X
DPERSONALITY_UNDISTINGUISHED_SUIT;无特征人就是用来形容那种“透明”的部长。没有人听说过他，没有人记得她的样子。他的著名就是自己全然不存在。 ;;;;;;;;;;X
DPERSONALITY_AIR_SUPERIORITY_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他本人倾向于这个军种的力量发展。这可能是他在此服役很长时间的后果，或者是因为他确信只有在这方面取得发展，他的祖国才能赢得战争。 ;;;;;;;;;;X
DPERSONALITY_CORRUPT_KLEPTOCRAT;他是一个有能力的管理者，但他非常腐败，经常把军事援助和军事补给作为自己的囊中之物。 ;;;;;;;;;;X
DPERSONALITY_CROOKED_KLEPTOCRAT;他并不重视犯罪的轻重，不关心起义，显然其他部长对他很信任，因为可以从中牟利。 ;;;;;;;;;;X
DPERSONALITY_POWER_HUNGRY_DEMAGOGUE;渴望力量的煽动者是充满憎恨并疯狂报复的男人。然而对于失落的大众，他却拥有魔法般的魅力来迷惑他们。他有但只有一个真正的目那就是控制并且塑照世界成为他所喜欢的样子。 ;;;;;;;;;;X
DPERSONALITY_BARKING_BUFFOON;咆哮的小丑是政治舞台上伟大的戏剧性的演员。人们视他为将要解救国家并能回复伟大历史的一位强壮和能干的领袖。但是在他的夸大修辞的假面具后藏一个低智又自负的笨蛋。那些真的认识他的人，知道他是毫无能力的人。 ;;;;;;;;;;X
DPERSONALITY_STERN_IMPERIALIST;严厉的帝国主义者是坚定的国家主义者。他既不是迷人的也不是管理的天才。然而他有一个巨大的资产，即他狂热的决心改善他的国家状态。他将会使用任何的方法达成那一个目标，并在政治和军事上是了不起的人物。 ;;;;;;;;;;X
DPERSONALITY_RUTHLESS_POWERMONGER;残忍的权利投机者视他的国家和他的民族为个人的私有财产。他全无节操，而且他不会让任何反抗在他和他的目标间存在。有时他能逐步现出一种将会危及朋友和仇敌的偏执狂的妄想。 ;;;;;;;;;;X
DPERSONALITY_AUTOCRATIC_CHARMER;独裁魔术师用他的非凡领导力和冷酷把握权利。他能使朋友和敌人陶醉，是优良的谈判者。然而，日常的统治不是他的风格，腐败在他的规则之下兴旺。 ;;;;;;;;;;X
DPERSONALITY_RESIGNED_GENERALISSIMO;听天命的大元帅有力量从来自无政府状态和世俗情绪的毁坏下拯救他国家。他对政治上的争吵感到厌烦并设法使国家正常运转的就像他一直习惯指挥他的团队一样。然而，他仍是能干和决定性的人。 ;;;;;;;;;;X
DPERSONALITY_BENEVOLENT_GENTLEMAN;慈善绅士是有超凡魅力和精通于成功选举的人。然而，他缺乏掌握国家的航舵的品质去达到真正的成功。当事情变的严重时，他只是微笑和等候政见风波的结束。 ;;;;;;;;;;X
DPERSONALITY_WEARY_STIFF_NECK;令人生厌的造作者不是一个适合这种工作的人。他努力通过贵族的举止和顽固的表演来弥补这些。当提到政治时他就感到厌烦和犹豫，总是害怕他缺乏的才能将会表现出他的愚蠢。 ;;;;;;;;;;X
DPERSONALITY_INSIGNIFICANT_LAYMAN;无关紧要的外行缺乏任何类型的野心或政治兴趣。人们唯一不行动起来反对他的理由是他非常无害处并且没有较好的替代者。 ;;;;;;;;;;X
DPERSONALITY_DIE_HARD_REFORMER;顽固的改革家想要提高他在其他的国家政府中政治价值和优先权。他乐于通过政治和军队的干涉来达成他的目标。 ;;;;;;;;;;X
DPERSONALITY_PIG_HEADED_ISOLATIONIST;愚蠢的孤立主义者决定不让他的国家靠近战争和混乱国际政治。他可能喜欢或讨厌国际合作，但国家的自治一直是他的目标。 ;;;;;;;;;;X
DPERSONALITY_POPULAR_FIGUREHEAD;受欢迎但有名无实的领袖在他的国家中由于政府的体制只有很小的力量。但是由于他的名望，任何来自他的坚定陈述必定进入那些在国家中有力量的人的考虑范围之内。 ;;;;;;;;;;X
DPERSONALITY_SILENT_WORKHORSE;沈默的实干家用他的才干和努力的工作弥补了他所缺乏的魅力。他很少占据首要的位置。当他完成工作的时候，国家元首会代他享受极度的光荣。 ;;;;;;;;;;X
DPERSONALITY_NAIVE_OPTIMIST;天真的乐观主义者是能干的管理人和政客。然而，他时常屈于痴心妄想而且未能抓住已经为他准备好的便利。 ;;;;;;;;;;X
DPERSONALITY_FLAMBOYANT_TOUGH_GUY;精力过人的硬汉是天然的领袖和一位真正的斗士。他将会试着避免冲突，但是如果动武的，他将会对抗到最后。他主要表现的技巧是想出那些为其倔强辩护的众多有创造力的主意，不管他们是好的还是坏的。 ;;;;;;;;;;X
DPERSONALITY_HAPPY_AMATEUR;快乐的业余政治家能得到他的职位纯粹是个偶然，他对政治和政体一无所知。然而那些藉着当政者的惊奇而掩盖了，他那永远微笑的脸在他身边制造了一种充满信心的气氛。幸运地，人们不知道他的摇摇欲坠。 ;;;;;;;;;;X
DPERSONALITY_BACKROOM_BACKSTABBER;密谋的暗害者有像资深党政秘书或党员那样的长年经验是一个政治老手。没有任何阴谋能取代他，也没有任何外国政府能推翻他。外国的政府在他周围必须非常谨慎。 ;;;;;;;;;;X
DPERSONALITY_SMILING_OILMAN;微笑的石油商是一个独立奋斗的人并且是一家大石油公司从前的总裁。他的经验，他的钱的发言权，已经带来他进办公室。然而，他缺乏政治技巧，在国际的竞技场中也是个新手。至少他是一个厚脸皮的，能干的、快速的学习者。 ;;;;;;;;;;X
DPERSONALITY_OLD_GENERAL;老陆军将军被任命是因为他的力量基础，也有时是因为他的光荣过去。他在政治中不是很感兴趣或熟练，他追求他的首要兴趣：陆军的状况。 ;;;;;;;;;;X
DPERSONALITY_OLD_ADMIRAL;老海军上将被任命是因为他的力量基础，也有时是因为他的光荣过去。他在政治中不是很感兴趣或熟练，他追求他的首要兴趣：海军的状况。 ;;;;;;;;;;X
DPERSONALITY_OLD_AIR_MARSHAL;老空军元帅被任命是因为他的力量基础，也有时是因为他的光荣过去。他在政治中不是很感兴趣或熟练，他追求他的首要兴趣：空军的状况。 ;;;;;;;;;;X
DPERSONALITY_POLITICAL_PROTEGE;政治上的受保护人是一个政治上的密友，是国家元首的一个心腹朋友。他既不非常喜欢也不非常能干的。他所以被选择是因为他的忠诚和他巨大的关络。 ;;;;;;;;;;X
DPERSONALITY_AMBITIOUS_UNION_BOSS;野心勃勃的联盟领导人是一个倾向于在政治上用力量来改变事情的粗鲁人，他仍然属于劳动阶级，但是新形势已经抑制了他的急进主义。他是强硬的谈判对手但是缺乏管理的技术。他的背景是应对当前形势的责任。 ;;;;;;;;;;X
DPERSONALITY_CORPORATE_SUIT;法人代表在商业世界中用尽了他的生命，远离了政治。他本来是被引荐为某个独立的部长，但是由于他能力和合作技巧，他已经达到了上层。他拥有一个庞大的人际关系网，但他在政治中却没有位置。 ;;;;;;;;;;X
DPERSONALITY_OIL_BARON;石油大亨在石油工业上富有力量。他控制着或连接着许多行业或企业，并且在石油开采和炼制业务上有积极的影响。 ;;;;;;;;;;X
DPERSONALITY_STEEL_MAGNATE;钢铁大王在炼钢行业和钢材市场上都是一名关键人物。他可以利用它的地位帮助国家增加钢铁生产力和提高金属制品的生产与销售。 ;;;;;;;;;;X
DPERSONALITY_INDUSTRIAL_CHEMIST;工业化学家在化学工业具有重要的地位。他用自己的知识开发新的物质，工艺和产品，并增加科学知识。 ;;;;;;;;;;X
DPERSONALITY_MEDIA_MAGNATE;传媒巨子在媒体企业占有主导地位。他通常拥有一个或更多报纸广播电视网，并用它们影响公众舆论。 ;;;;;;;;;;X
NPERSONALITY_PLANNED_ECONOMY_PROPONENT;计划经济支持者 ;;;;;;;;;;X
DPERSONALITY_PLANNED_ECONOMY_PROPONENT;计划经济指一种经济制度，其生产与投资的决定均集中体现在由中央机关，通常为政府机构所制定的计划当中。 ;;;;;;;;;;X
NPERSONALITY_KEYNESIAN;凯恩斯主义者 ;;;;;;;;;;X
DPERSONALITY_KEYNESIAN;凯恩斯主义认为，个人企业的决策有时会降低宏观经济效果，因此需提倡公共部门对经济的积极政策，包括中央银行的货币政策和政府的财政政策，以保证商业周期中经济的平稳增长。 ;;;;;;;;;;X
NPERSONALITY_REFORMER;军队改革者 ;;;;;;;;;;X
DPERSONALITY_REFORMER;军队改革者致力于重组一支现代化部队。 ;;;;;;;;;;X
NPERSONALITY_CONSTRUCTION_MAGNATE;建筑业巨头 ;;;;;;;;;;X
DPERSONALITY_CONSTRUCTION_MAGNATE;建筑业巨头在建筑行业具有突出地位。他可以运用自己的地位提高自己行业的生产效率，并推动道路、机场、海军基地及其它基础设施的建设。 ;;;;;;;;;;X
NPERSONALITY_BUDGET;平衡预算支持者 ;;;;;;;;;;X
DPERSONALITY_BUDGET;这位部长为平衡预算而奋斗，为此他推行紧缩财政并限制福利和对外援助。 ;;;;;;;;;;X
NPERSONALITY_MIXED;混合经济支持者 ;;;;;;;;;;X
DPERSONALITY_MIXED;混合经济指一种经济制度，由国家和私营企业共同主导，同时兼有计划经济和市场经济的特点。大多数混合经济体制可以被形容为强有力监管下的市场经济，但排除了政府资助企业的因素。 ;;;;;;;;;;X
NPERSONALITY_HEALTH;健康与安全支持者 ;;;;;;;;;;X
DPERSONALITY_HEALTH;健康与安全支持者认为一个政府的主要目标是提高劳动者的安全和健康保障机制。 ;;;;;;;;;;X
NPERSONALITY_POLICE;秘密警察首领 ;;;;;;;;;;X
DPERSONALITY_POLICE;秘密警察首领运用其职务，铲除持不同政见者和当地居民的不忠诚因素。 ;;;;;;;;;;X
NPERSONALITY_COMMANDO_DOCTRINE;特种部队支持者 ;;;;;;;;;;X
DPERSONALITY_COMMANDO_DOCTRINE_ARMY;这位陆军总长认为，使用训练有素的特种部队可以在战斗中打破僵局。 ;;;;;;;;;;X
DPERSONALITY_COMMANDO_DOCTRINE_STAFF;这位参谋长认为，使用特种部队和训练小型精锐编队投入战斗是现代战争的本质。 ;;;;;;;;;;X
NPERSONALITY_AUTONOMY_DOCTRINE;指挥官自主学说 ;;;;;;;;;;X
DPERSONALITY_AUTONOMY_DOCTRINE;这位参谋长相信指挥官自主学说。这意味着允许作战指挥官拥有自主指挥权是赢得战争的必要因素。 ;;;;;;;;;;X
NPERSONALITY_SYNDICALIST_DEMAGOGUE;工团主义煽动家  ;;;;;;;;;;X
DPERSONALITY_SYNDICALIST_DEMAGOGUE;工团主义运动的领导者能在他的国家激励工人，并获得人民的支持。  ;;;;;;;;;;X
NPERSONALITY_TOTALIST_PRESIDENT;极权主义的总统  ;;;;;;;;;;X
DPERSONALITY_TOTALIST_PRESIDENT;极权主义的总统是极权主义的信徒并淮备用军事武力传播他的思想。  ;;;;;;;;;;X
NPERSONALITY_TOTALIST_CHAIRMAN;极权主义的主席  ;;;;;;;;;;X
DPERSONALITY_TOTALIST_CHAIRMAN;极权主义的主席是一个支持极权主义，坚信只有通过中央调控经济和全面参与国家内部事物才能让国家强大的人。  ;;;;;;;;;;X
NPERSONALITY_RESPECTED_WAR_HERO;受尊敬的战争英雄  ;;;;;;;;;;X
DPERSONALITY_RESPECTED_WAR_HERO;他因在战争中立下赫赫战功而出名，并广受人民的尊敬。即使有些人将他贬为军人干政的明显标志，但在军事上他依然受到人们的爱戴和推崇，即便他的某些政策过于保守以及在技术革新的进程上过于缓慢。  ;;;;;;;;;;X
NPERSONALITY_UNPOPULAR_PRESIDENT;不受欢迎的总统  ;;;;;;;;;;X
DPERSONALITY_UNPOPULAR_PRESIDENT;不受欢迎的总统无法获得人民的支持，但他努力维持自己的地位。  ;;;;;;;;;;X
NPERSONALITY_GERMAN_ARISTOCRAT;德国贵族  ;;;;;;;;;;X
DPERSONALITY_GERMAN_ARISTOCRAT;德国贵族是德意志帝国的皇室成员，并且利用德意志帝国赋予的特权作为统治基础来统治这个国家。  ;;;;;;;;;;X
NPERSONALITY_RUSSIAN_ARISTOCRAT;俄罗斯贵族  ;;;;;;;;;;X
DPERSONALITY_RUSSIAN_ARISTOCRAT;俄罗斯贵族强迫国家将权力交由俄罗斯统治者控制，同时也努力赢得人民的认同和芳心。  ;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
EE_MAX_AMPHIB_MOD_TITLE;两栖作战部队上限 ;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_HITLER;帝国元首 ;;;;;;;;;;X
DPERSONALITY_HITLER;阿道夫·希特勒是奥地利裔德国政治家，德国国家社会主义工人党（俗称纳粹党）的领导者。在1933年成为德国总理，1934年获得国家元首（帝国元首和联邦总理）头衔后，成为了德国的绝对独裁者。 ;;;;;;;;;;X
NPERSONALITY_SPEER;天才组织者 ;;;;;;;;;;X
DPERSONALITY_SPEER;阿尔伯特·施佩尔开始时只是希特勒小圈子里的一名建筑师。他设计并指挥建造了一系列的建筑物，包括帝国总理府和用于全党集会的纽伦堡齐柏林广场。他甚至有一个规模宏大的计划——具有巨大建筑，宽阔的林荫道和重组的运输系统的新柏林。 ;;;;;;;;;;X
NPERSONALITY_HIMMLER;党卫队帝国长官 ;;;;;;;;;;X
DPERSONALITY_HIMMLER;海因里希·希姆莱是党卫队帝国长官，是一名军事指挥官和纳粹党的领导人物。作为德国警察总监和之后的内政部长，希姆莱负责所有内外的警察和安全部队，包括盖世太保（国家秘密警察）。 ;;;;;;;;;;X
NPERSONALITY_FRICK;无情的组织者 ;;;;;;;;;;X
DPERSONALITY_FRICK;威廉·弗里克是以第三帝国内政部长著名的纳粹德国官员。弗里克领导了德国的再武装等违反凡尔赛条约的行动。他起草的法律对德奥合并后的奥地利及附属的捷克斯洛伐克地区实行普遍征兵制并延长兵役年限。 ;;;;;;;;;;X
NPERSONALITY_CANARIS;辉煌的间谍王 ;;;;;;;;;;X
DPERSONALITY_CANARIS;威廉·卡纳里斯是德国海军上将，军队情报局首脑，军事谍报局局长，1935年至1944年为德国抵抗运动成员。在1937年，他仍然是一名希特勒的支持者，认为他是反对共产主义的唯一人物和德意志民族复兴的唯一希望。但到了1938年，他开始意识到希特勒的政策和计划将导致德国的灾难，并开始进行反现政权的秘密工作。 ;;;;;;;;;;X
NPERSONALITY_HEYDRICH;绞刑手 ;;;;;;;;;;X
DPERSONALITY_HEYDRICH;海德里希是一名德国纳粹的高级军官。他曾担任国家安全总局（包括党卫军安全部门，盖世太保和刑事警察）局长和波西米亚与摩拉维亚的代理保护长官。海德里希和他的安全部门成功使斯大林相信红军领导者正准备在苏联发动政变，这开始了苏联军队的大清洗，导致米哈伊尔·图哈切夫斯基及其他七名顶级苏联指挥官遭到处决。 ;;;;;;;;;;X
NPERSONALITY_NEURATH;受尊敬的妥协者 ;;;;;;;;;;X
DPERSONALITY_NEURATH;康斯坦丁·冯·牛赖特是一名德国外交官，最为人所知的是他的1932年至1938年的德国外交部长任期。在希特勒统治的早期，他在此职位上被认为扮演了外交政策中的关键角色，即纳粹独裁者对破坏凡尔赛条约和领土扩张的渴求，并最终拉开了第二次世界大战的序幕，尽管他本人经常反感以意识形态作为外交战术。 ;;;;;;;;;;X
NPERSONALITY_RIBBENTROP;香槟酒贩子 ;;;;;;;;;;X
DPERSONALITY_RIBBENTROP;约阿希姆·冯·里宾特洛甫于1938年至1945年担任德国外交部长。在1939年的苏德互不侵犯条约"莫洛托夫-里宾特洛甫条约"与闪击波兰前后的一系列外交活动中，他厥功甚伟。 ;;;;;;;;;;X
NPERSONALITY_GOERING;铁骑士 ;;;;;;;;;;X
DPERSONALITY_GOERING;作为纳粹德国空军总司令，德国国会议长，普鲁士首相和总理，以及希特勒的指定接班人，赫尔曼·戈林是第三帝国的二号人物。一战期间，他凭借击坠22架敌机的战绩成为王牌飞行员。获得蓝马克斯勋章和一级铁十字勋章后，他以被浓厚的浪漫主义光环包裹的飞行员和战斗英雄的身份退出了战争。 ;;;;;;;;;;X
NPERSONALITY_BORMANN;元首的影子 ;;;;;;;;;;X
DPERSONALITY_BORMANN;马丁·鲍曼是纳粹党的重要成员。他担任纳粹党秘书长和阿道夫·希特勒的私人秘书。他取得了希特勒的信任，并借此控制接见元首的通道和改变其亲近人员，终于获得了在第三帝国中的巨大权力。 ;;;;;;;;;;X
NPERSONALITY_GOEBBELS;宣传博士 ;;;;;;;;;;X
DPERSONALITY_GOEBBELS;二战期间，戈培尔通过在其他纳粹领导人间的纵横捭阖增加了自己的权力和影响力。1943年后期，战争潮流转向轴心国，但这只是使戈培尔加大了宣传力度，敦促德国人接受总体战争和全面动员的想法。戈培尔在柏林陪伴希特勒至人生的最后一刻。 ;;;;;;;;;;X
NPERSONALITY_HESS;纳粹副元首 ;;;;;;;;;;X
DPERSONALITY_HESS;鲁道夫·沃尔特·理查德·赫斯曾是最早追随希特勒的纳粹党员之一，赫斯对元首无比忠诚，并深受元首信任。在1936年，赫斯在柏林第11届世界奥林匹克运动会期间结识了英国的汉密尔顿公爵。与苏联的战争前夕，他独自前往苏格兰，企图与英国展开和平谈判，可是在战争的其余时间一直被关押。在历史上，赫斯于1987年8月17日在柏林施潘道军事监狱内的小别墅中去世，享年93岁，是最为长寿的纳粹党员之一。 ;;;;;;;;;;X
NPERSONALITY_GOERINGHoG;帝国元帅 ;;;;;;;;;;X
DPERSONALITY_GOERINGHoG;德国空军总司令，国会议长、冲锋队总指挥、经济部长、普鲁士邦总理....戈林作为希特勒的指定接班人，在第三帝国作为第二把手的统帅。戈林利用职务之便沉迷于浮华奢侈，住在柏林的宫殿和建立一个以他的第一任妻子卡琳命名的狩猎豪宅。他组织活动，狩猎，展示被盗的艺术珍品和他的奢华品味。 ;;;;;;;;;;X
NPERSONALITY_BLOMBERG;橡胶狮子 ;;;;;;;;;;X
DPERSONALITY_BLOMBERG;维尔纳.爱德华.弗里茨.冯.勃洛姆堡，是纳粹德国陆军元帅，战争部长兼国防军总司令。在西线拥有出色表现，在第一次世界大战期间，布隆贝格被授予蓝马克斯勋章。1933年凡尔赛条约撕毁，他被任命为国防部长，布隆贝格紧锣密鼓地扩大军队的规模和力量。但在1938年，他因与妓女结婚而被免去所有职务。 ;;;;;;;;;;X
NPERSONALITY_FRITSCH;帝国陆军统帅 ;;;;;;;;;;X
DPERSONALITY_FRITSCH;瓦尔纳·冯·弗立契是一个突出的国防军军官和德国最高统帅部的成员。弗立契参与在20世纪20年代的秘密重整军备，协助德国试图逃避“凡尔赛条约”第V部，解除德国武装的条款。1937年11月，出席最高秘密军政会议，对希特勒的冒险扩张方针有所保留。翌年2月被免职。1939年9月22日战死于波兰战场。 ;;;;;;;;;;X
NPERSONALITY_RAEDER;帝国首枚元帅权杖掌握者 ;;;;;;;;;;X
DPERSONALITY_RAEDER;埃里希·雷德尔是德国在第二次世界大战之前和期间的海军领导人。虽然他不赞同希特勒发动侵略战争，但他坚决支持阿道夫·希特勒重建德国海军，他对纳粹党尤其是戈林素无好感，实际上他强烈主张军队应与政治彻底分离，并努力使整个海军脱离政治的干扰。 ;;;;;;;;;;X
NPERSONALITY_RED_BARON;红男爵 ;;;;;;;;;;X
DPERSONALITY_RED_BARON;作为第一次世界大战中最杰出的王牌机师之一，冯·里希特霍芬在军队中的地位迅速上升，被提升为帝国空军司令。在他的领导下，德国空军快速扩张，并预先在技术和飞行员培训上下功夫。 ;;;;;;;;;;X
NPERSONALITY_TODT;"托特"组织 ;;;;;;;;;;X
DPERSONALITY_TODT;1938年，弗里兹·托特建立了"托特组织"作为高速公路项目行政办公室的下属财团，并联合私人企业作为承包商和工程技术专业知识的来源。1941年，托特和他的组织负责了一个更大的项目，即横亘法国占领区，荷兰和比利时海岸的大西洋壁垒的建设。 ;;;;;;;;;;X
NPERSONALITY_REICHSKOMMISSAR;帝国专员 ;;;;;;;;;;X
DPERSONALITY_REICHSKOMMISSAR;帝国专员是阿道夫·希特勒授予许多二战期间被占领国的纳粹总督的称号。帝国专员是他们辖区的最高公务员当局，并通常采用独裁和镇压方法实行统治。 ;;;;;;;;;;X
NPERSONALITY_MAN_OF_GENIUS;天选之人 ;;;;;;;;;;X
DPERSONALITY_MAN_OF_GENIUS;没人知道天选之人从何而来，因何而去，他在这个世界所做的一切决定都准确无误，他把握人心的能力堪比上帝，他指挥起军队如使臂指，他能检视过去，他能预知未来，他就是天选之人。 ;;;;;;;;;;X
NPERSONALITY_WELTKRIEG_EMPEROR;战争之王 ;;;;;;;;;;X
DPERSONALITY_WELTKRIEG_EMPEROR;威廉二世，全名为弗里德里希·威廉·维克多·阿尔伯特·冯·霍亨索伦，在1888年6月15日被加冕为德意志皇帝和普鲁士国王。在位期间，它支持用各种法律改善工作条件，保护妇女和儿童以及规范劳动关系。在对外政策上，他在国际上使用的各种壮观的手段导致了于许多欧洲国家的摩擦。在军事上，他决定采取扩张性海军军备政策，但他的将军们常常左右他的决定，甚至最终的政策。第一次世界大战中被资本家出卖的德皇如今再次登基，虽然皇帝周围布满纳粹的眼线，但至少在复兴德意志祖国的大目标方面，德皇与元首是一致的。 ;;;;;;;;;;X
NPERSONALITY_MODERATE_KAISER;温和的德皇 ;;;;;;;;;;X
DPERSONALITY_MODERATE_KAISER;虽然提高了普鲁士军事决策中的保守程度，但威廉三世对事物的看法比他父亲更为自由，并更愿意通过妥协来改革他的帝国。 ;;;;;;;;;;X
NPERSONALITY_HITLER_EMPEROR_GOVERNMENT;德意志帝国总理 ;;;;;;;;;;X
DPERSONALITY_HITLER_EMPEROR_GOVERNMENT;阿道夫·希特勒是奥地利裔德国政治家，国家社会主义德国工人党（俗称纳粹党）的领袖。在1933年成为德国总理，1934年获得国家元首（帝国元首和联邦总理）头衔后，成为了德国的绝对独裁者。后来，阿道夫遵从兴登堡总统的遗嘱，拥立威廉二世复辟，希特勒成为立宪政府的总理。 ;;;;;;;;;;X
NPERSONALITY_ZOMBIE_KROENEN;发条人 ;;;;;;;;;;X
DPERSONALITY_ZOMBIE_KROENEN;在妖僧拉斯普京不稳定的黑魔法与纳粹科学家的研究下，被用来实验的纳粹士兵变成了无比饥渴，心智全无、有着对活人血肉极度的渴望的行尸走肉。元首最终决定，将这些实验品全权交付卡尔·克鲁南来管理。这些生物无视地形，即使诸如巷战、沼泽等地，依然能‘吃’出一条血路。 ;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_MUSSOLINI;意大利领袖 ;;;;;;;;;;X
DPERSONALITY_MUSSOLINI;贝尼托·墨索里尼是意大利国家法西斯党党魁，法西斯主义创立的关键人物之一。他于1922年起任意大利王国首相，并于1925年获得“杜切”(领袖)称号。 ;;;;;;;;;;X
NPERSONALITY_CIANO;法西斯十字军 ;;;;;;;;;;X
